iter	Passed	Remaining
833	27587	5491
834	27628	5459
835	27671	5428
836	27698	5394
837	27729	5360
838	27759	5326
839	27786	5292
840	27826	5260
841	27859	5227
842	27886	5193
843	27920	5160
844	27963	5129
845	27992	5095
846	28030	5063
847	28067	5030
848	28104	4998
849	28132	4964
850	28164	4931
851	28191	4897
852	28227	4864
853	28266	4832
854	28300	4799
855	28330	4765
856	28368	4733
857	28403	4700
858	28430	4666
859	28459	4632
860	28486	4598
861	28522	4566
862	28556	4533
863	28582	4499
864	28611	4465
865	28645	4432
866	28674	4398
867	28702	4364
868	28729	4330
869	28759	4297
870	28786	4263
871	28822	4230
872	28859	4198
873	28896	4165
874	28927	4132
875	28957	4098
876	28983	4064
877	29021	4032
878	29051	3999
879	29078	3965
880	29106	3931
881	29133	3897
882	29170	3865
883	29197	3831
884	29225	3797
885	29253	3763
886	29278	3729
887	29316	3697
888	29350	3664
889	29375	3630
890	29406	3597
891	29435	3563
892	29463	3530
893	29496	3497
894	29525	3463
895	29555	3430
896	29582	3396
897	29608	3363
898	29643	3330
899	29672	3296
900	29699	3263
901	29726	3229
902	29753	3196
903	29780	3162
904	29817	3130
905	29846	3096
906	29873	3063
907	29900	3029
908	29928	2996
909	29964	2963
910	29993	2930
911	30022	2896
912	30052	2863
913	30079	2830
914	30113	2797
915	30207	2770
916	30241	2737
917	30269	2703
918	30296	2670
919	30324	2636
920	30353	2603
921	30380	2570
922	30415	2537
923	30445	2504
924	30473	2470
925	30511	2438
926	30545	2405
927	30573	2372
928	30605	2339
929	30634	2305
930	30663	2272
931	30690	2239
932	30718	2205
933	30755	2173
934	30783	2140
935	30811	2106
936	30839	2073
937	30866	2040
938	30899	2007
939	30925	1973
940	30957	1940
941	30984	1907
942	31011	1874
943	31053	1842
944	31080	1808
945	31107	1775
946	31135	1742
947	31163	1709
948	31197	1676
949	31223	1643
950	31253	1610
951	31280	1577
952	31308	1544
953	31342	1511
954	31372	1478
955	31409	1445
956	31446	1412
957	31473	1379
958	31509	1347
959	31544	1314
960	31572	1281
961	31606	1248
962	31640	1215
963	31667	1182
964	31697	1149
965	31724	1116
966	31753	1083
967	31781	1050
968	31812	1017
969	31842	984
970	31870	951
971	31898	918
972	31925	885
973	31965	853
974	32007	820
975	32041	787
976	32071	755
977	32101	722
978	32139	689
979	32171	656
980	32202	623
981	32233	590
982	32266	558
983	32310	525
984	32345	492
985	32372	459
986	32400	426
987	32433	393
988	32462	361
989	32489	328
990	32515	295
991	32554	262
992	32586	229
993	32614	196
994	32648	164
995	32685	131
996	32712	98
997	32748	65
998	32777	32
999	32808	0
